attraction_name,attraction_url,region
Yanar Dag,https://www.viator.com/Baku-attractions/Yanar-Dag/d22974-a24342,Middle_East_Africa
Sani Pass,https://www.viator.com/Durban-attractions/Sani-Pass/d315-a15273,Middle_East_Africa
Cape Agulhas,https://www.viator.com/Western-Cape-attractions/Cape-Agulhas/d23346-a20953,Middle_East_Africa
Crocoparc,https://www.viator.com/Agadir-attractions/Crocoparc/d4383-a27867,Middle_East_Africa
Agadir Beach (Plage d’Agadir),https://www.viator.com/Agadir-attractions/Agadir-Beach/d4383-a20247,Middle_East_Africa
Oasiria Marrakech (Oasiria Water Park),https://www.viator.com/Marrakech-attractions/Oasiria-Marrakech/d5408-a20608,Middle_East_Africa
Bahariya Oasis,https://www.viator.com/Western-Desert-attractions/Bahariya-Oasis/d24114-a20309,Middle_East_Africa
Dahshur,https://www.viator.com/Cairo-attractions/Dahshur/d782-a21694,Middle_East_Africa
Museum of Illusions Dubai,https://www.viator.com/Dubai-attractions/Museum-of-Illusions-Dubai/d828-a28712,Middle_East_Africa
Voortrekker Monument,https://www.viator.com/Pretoria-attractions/Voortrekker-Monument/d22819-a21761,Middle_East_Africa
Agadir Kasbah Ruins (Agadir Oufella),https://www.viator.com/Agadir-attractions/Agadir-Kasbah-Ruins/d4383-a23479,Middle_East_Africa
Wadi Bani Khalid,https://www.viator.com/Muscat-attractions/Wadi-Bani-Khalid/d4389-a15194,Middle_East_Africa
Chamarel Waterfall,https://www.viator.com/Mauritius-attractions/Chamarel-Waterfall/d4463-a15110,Middle_East_Africa
El Dahar (Hurghada Old Town),https://www.viator.com/Hurghada-attractions/El-Dahar-Hurghada-Old-Town/d800-a1841,Middle_East_Africa
Mausoleum of Mohammed V (Mausolée de Mohammed V),https://www.viator.com/Rabat-attractions/Mausoleum-of-Mohammed-V/d26851-a23475,Middle_East_Africa
Sossusvlei,https://www.viator.com/Namibia-attractions/Sossusvlei/d10-a15756,Middle_East_Africa
Trou aux Cerfs Volcano,https://www.viator.com/Mauritius-attractions/Trou-aux-Cerfs-Volcano/d4463-a15112,Middle_East_Africa
Museum of Islamic Art (MIA),https://www.viator.com/Doha-attractions/Museum-of-Islamic-Art/d4453-a24559,Middle_East_Africa
Kasbah of the Udayas (Casbah des Oudaïas),https://www.viator.com/Rabat-attractions/Kasbah-of-the-Udayas/d26851-a23476,Middle_East_Africa
Erg Chebbi,https://www.viator.com/Morocco-Sahara-attractions/Erg-Chebbi/d22141-a19775,Middle_East_Africa
Hanging Church (Al-Muallaqa),https://www.viator.com/Cairo-attractions/Hanging-Church-Al-Muallaqa/d782-a3147,Middle_East_Africa
Two Oceans Aquarium,https://www.viator.com/Cape-Town-attractions/Two-Oceans-Aquarium/d318-a19835,Middle_East_Africa
Lake Naivasha,https://www.viator.com/Nairobi-attractions/Lake-Naivasha/d5280-a17830,Middle_East_Africa
Al Seef,https://www.viator.com/Dubai-attractions/Al-Seef/d828-a99865,Middle_East_Africa
Oukaimeden,https://www.viator.com/Marrakech-attractions/Oukaimeden/d5408-a19272,Middle_East_Africa
Taghazout Beach,https://www.viator.com/Agadir-attractions/Taghazout-Beach/d4383-a21366,Middle_East_Africa
Lake Nakuru National Park,https://www.viator.com/Central-Kenya-attractions/Lake-Nakuru-National-Park/d24331-a2804,Middle_East_Africa
Al Alam Palace (Sultan's Palace),https://www.viator.com/Muscat-attractions/Al-Alam-Palace-Sultans-Palace/d4389-a11577,Middle_East_Africa
Bénitiers Island (Ile aux Bénitiers),https://www.viator.com/Mauritius-attractions/Benitiers-Island-LIle-aux-Benitiers/d4463-a15106,Middle_East_Africa
IMG Worlds of Adventure,https://www.viator.com/Dubai-attractions/IMG-Worlds-of-Adventure/d828-a24691,Middle_East_Africa
Souk el Had,https://www.viator.com/Agadir-attractions/Souk-el-Had/d4383-a21364,Middle_East_Africa
Medinet Habu (Temple of Ramses III),https://www.viator.com/Luxor-attractions/Medinet-Habu-Temple-of-Ramses-III/d826-a2135,Middle_East_Africa
Jeita Grotto,https://www.viator.com/Beirut-attractions/Jeita-Grotto/d4215-a6075,Middle_East_Africa
Mahmya Island,https://www.viator.com/Hurghada-attractions/Mahmya-Island/d800-a16866,Middle_East_Africa
Baku Boulevard (Denizkenari Milli Park),https://www.viator.com/Baku-attractions/Baku-Boulevard/d22974-a24550,Middle_East_Africa
Ushaka Marine World,https://www.viator.com/Durban-attractions/uShaka-Marine-World/d315-a2030,Middle_East_Africa
Gobustan Rock Art Cultural Landscape (Gobustan National Park),https://www.viator.com/Azerbaijan-attractions/Gobustan-Rock-Art-Cultural-Landscape/d22315-a24346,Middle_East_Africa
Heydar Aliyev Center,https://www.viator.com/Baku-attractions/Heydar-Aliyev-Center/d22974-a29175,Middle_East_Africa
Pyramid of Djoser (Step Pyramid),https://www.viator.com/Cairo-attractions/Pyramid-of-Djoser-Step-Pyramid/d782-a1502,Middle_East_Africa
Dendera (Dandarah),https://www.viator.com/Luxor-attractions/Dendera-Dandarah/d826-a2132,Middle_East_Africa
Castle of Good Hope,https://www.viator.com/Cape-Town-attractions/Castle-of-Good-Hope/d318-a2015,Middle_East_Africa
Devil's Pool,https://www.viator.com/Livingstone-attractions/Devils-Pool/d5313-a11699,Middle_East_Africa
Mpumalanga Panorama Route,https://www.viator.com/Kruger-National-Park-attractions/Mpumalanga-Panorama-Route/d776-a17976,Middle_East_Africa
Unfinished Obelisk,https://www.viator.com/Aswan-attractions/Unfinished-Obelisk/d796-a1576,Middle_East_Africa
Seven Coloured Earth Geopark,https://www.viator.com/Mauritius-attractions/Seven-Coloured-Earth-Geopark/d4463-a15111,Middle_East_Africa
Chefchaouen Medina,https://www.viator.com/Chefchaouen-attractions/Chefchaouen-Medina/d50203-a100675,Middle_East_Africa
Tiran Island,https://www.viator.com/Sharm-el-Sheikh-attractions/Tiran-Island/d827-a1871,Middle_East_Africa
Groot Constantia,https://www.viator.com/Cape-Town-attractions/Groot-Constantia/d318-a11619,Middle_East_Africa
Royal Opera House,https://www.viator.com/Muscat-attractions/Royal-Opera-House/d4389-a11604,Middle_East_Africa
Al-Fayoum (Faiyum),https://www.viator.com/Cairo-attractions/Al-Fayoum/d782-a21234,Middle_East_Africa
Jozani-Chwaka Bay National Park,https://www.viator.com/Zanzibar-attractions/Jozani-Chwaka-Bay-National-Park/d5590-a16210,Middle_East_Africa
Église Notre Dame de Lourdes,https://www.viator.com/Casablanca-attractions/Eglise-Notre-Dame-de-Lourdes/d4396-a16871,Middle_East_Africa
Hartbeespoort Dam,https://www.viator.com/Johannesburg-attractions/Hartbeespoort-Dam/d314-a20973,Middle_East_Africa
Tsavo National Park,https://www.viator.com/Kenya-attractions/Tsavo-National-Park/d801-a2808,Middle_East_Africa
iSimangaliso Wetland Park,https://www.viator.com/Durban-attractions/iSimangaliso-Wetland-Park/d315-a20232,Middle_East_Africa
Savanne District,https://www.viator.com/Mauritius-attractions/Savanne-District/d4463-a15114,Middle_East_Africa
Blue Bay Marine Park,https://www.viator.com/Mauritius-attractions/Blue-Bay-Marine-Park/d4463-a20244,Middle_East_Africa
